"","province","group"
"1","Beijing",2
"2","Tianjin",1
"3","Hebei",2
"4","Shanxi",2
"5","Inner Mongolia",2
"6","Liaoning",1
"7","Jilin",1
"8","Heilongjiang",1
"9","Shanghai",2
"10","Jiangsu",2
"11","Zhejiang",1
"12","Anhui",2
"13","Fujian",2
"14","Jiangxi",1
"15","Shandong",1
"16","Henan",1
"17","Hubei",2
"18","Hunan",1
"19","Guangdong",1
"20","Guangxi",1
"21","Hainan",2
"22","Chongqing",1
"23","Sichuan",1
"24","Guizhou",1
"25","Yunnan",1
"26","Shaanxi",1
"27","Gansu",1
"28","Qinghai",2
"29","Ningxia",1
"30","Xinjiang",2
